City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Cuaspud,CO,0.8628,-77.7263,50.81,87,90,9.22,light intensity drizzle
256,Kokoda,PG,-8.8785,147.7407,73.81,89,92,1.36,moderate rain
257,Virtsu,EE,58.5716,23.5115,58.98,75,93,12.19,overcast clouds
258,Fortuna,US,40.5982,-124.1573,90.48,74,1,3.0,clear sky
259,Havre-Saint-Pierre,CA,50.2334,-63.5986,75.56,53,1,6.91,clear sky
260,Tuktoyaktuk,CA,69.4541,-133.0374,66.2,63,90,11.5,overcast clouds
261,Antalaha,MG,-14.9003,50.2788,70.88,88,95,9.26,light rain
262,Santa Cruz,BO,-17.8,-63.1667,71.65,26,20,12.66,few clouds
263,Puerto Baquerizo Moreno,EC,-0.9,-89.6,77.99,73,40,14.97,scattered clouds
264,Gotsu,JP,35.0,132.2167,73.67,83,68,5.44,broken clouds
265,Port Elizabeth,ZA,-33.918,25.5701,54.1,84,100,9.15,overcast clouds
266,Seoul,KR,37.5683,126.9778,74.71,94,0,3.44,clear sky
267,Port Hedland,AU,-20.3167,118.5667,59.05,47,29,8.05,scattered clouds
268,Elliot Lake,CA,46.3834,-82.6331,80.69,34,45,10.49,scattered clouds
269,Faanui,PF,-16.4833,-151.75,79.02,77,100,23.04,overcast clouds
270,Tezu,IN,27.9167,96.1667,76.98,94,95,2.82,overcast clouds
271,Tabou,CI,4.423,-7.3528,76.51,75,80,11.34,broken clouds
272,Coahuayana,MX,18.7333,-103.6833,90.16,58,51,6.08,broken clouds
273,Oistins,BB,13.0667,-59.5333,84.29,74,20,23.02,few clouds
274,Romitan,UZ,39.9343,64.3814,76.95,38,0,4.61,clear sky
275,Hengshan,CN,45.2,130.9167,73.56,85,90,3.18,overcast clouds
276,Santarem,BR,-2.4431,-54.7083,86.13,70,20,5.75,few clouds
277,Blagoyevo,RU,63.3667,47.9167,57.0,91,100,6.38,overcast clouds
278,Georgetown,MY,5.4112,100.3354,81.9,88,20,0.0,few clouds
279,Margate,GB,51.3813,1.3862,67.03,86,2,1.01,clear sky
280,Tamandare,BR,-8.7597,-35.1047,75.88,82,38,8.28,scattered clouds
281,Arman,RU,59.7,150.1667,58.98,59,56,2.24,broken clouds
282,Bambous Virieux,MU,-20.3428,57.7575,71.85,73,20,13.8,few clouds
283,Saquarema,BR,-22.92,-42.5103,68.14,50,38,18.19,scattered clouds
284,Mormugao,IN,15.4,73.8,78.85,82,99,14.79,overcast clouds
285,Mantua,IT,45.1667,10.7833,79.84,62,6,1.01,clear sky
